1332,215.946,485.29,33.1741,9.44344,732.219,597.91,243.475,501.228,477.395,214.639,486.149,23,33.225,9.43951,901.489,991.555,731.634,596.097,477.395,242.666,502.094,3947
1843,159.108,320.226,30.6318,11.6009,782.946,715.096,204.938,338.68,1863.39,150.586,297.426,18,30.695,11.5953,401.036,512.825,784.066,715.605,1863.39,200.075,339.176,3591
1212,211.125,377.225,33.7711,9.64841,720.478,575.34,248.047,398.898,781.719,208.272,375.998,21,33.835,9.63005,1007.33,1034.57,719.588,573.343,781.719,246.391,399.516,3598
1291,205.495,441.063,33.3781,10.3677,743.49,627.565,238.43,375.218,4098.43,186.031,345.479,21,33.44,10.3565,562.188,641.555,744.059,627.521,4098.43,226.31,375.807,3439
1452,218.706,408.581,32.5771,10.8543,758.618,638.322,273.782,449.85,276.947,218.415,409.58,18,32.65,10.8322,424.564,544.483,759.539,638.561,276.947,273.773,450.47,3119
1703,176.115,306.872,31.3284,11.3957,789.042,713.887,212.425,301.503,1922.36,167.384,281.634,20,31.385,11.3959,520.949,851.88,789.896,713.405,1922.36,206.976,301.983,2961
1733,212.885,376.223,31.1791,12.4815,802.44,835.845,267.218,404.764,697.111,210.464,375.597,23,31.22,12.4993,550.339,574.881,803.368,836.656,697.111,265.634,405.509,2681
1453,143.377,309.203,32.5721,10.7104,760.333,626.8,174.27,340.43,297.56,142.606,309.782,22,32.625,10.7109,750.258,933.085,760.367,625.514,297.56,173.854,341.004,4100
1303,187.129,353.159,33.3184,10.0698,743.411,640.595,225.107,382.991,378.012,186.175,353.782,24,33.365,10.0733,692.635,955.828,743.594,639.18,378.012,224.557,383.679,3596
1827,225.133,446.555,30.7114,10.3046,766.479,664.205,284.478,489.108,294.824,224.784,447.643,22,30.755,10.3119,1088.44,1359.7,765.327,660.404,294.824,284.441,489.982,3438
1742,159.893,395.537,31.1343,11.1786,799.534,693.323,203.311,436.38,215.24,159.616,396.505,25,31.165,11.1981,547.35,491.758,800.546,694.014,215.24,203.263,437.255,3836
1672,177.171,307.246,31.4826,11.0242,770.699,686.62,215.597,329.554,499.299,175.56,307.165,22,31.53,11.0313,1062.46,1302.78,769.681,683.499,499.299,214.608,330.128,3294
1206,204.99,314.658,33.801,10.6355,728.673,597.154,238.884,331.009,521.053,203.41,314.647,21,33.865,10.6234,481.835,613.072,729.438,597.104,521.053,238.009,331.521,2961
1477,307.539,490.554,32.4527,11.2837,755.044,645.777,368.751,515.715,459.928,306.777,491.66,19,32.52,11.2716,464.649,830.141,755.893,645.161,459.928,368.485,516.468,2799
1855,156.546,314.122,30.5721,10.5936,757.415,656.065,189.85,325.407,908.133,152.788,310.366,22,30.615,10.6027,1078.28,1148.37,756.262,653.628,908.133,187.269,325.991,3472
1429,241.781,414.114,32.6915,10.1719,731.775,618.242,286.531,442.494,560.118,240.189,414.534,20,32.755,10.1575,323.939,247.528,733.02,619.034,560.118,285.696,443.169,2712
1325,226.122,392.978,33.209,10.4232,748.13,597.56,269.766,416.392,902.842,222.738,391.028,21,33.27,10.4133,715.115,891.932,748.234,596.401,902.842,267.768,417.049,3344
1083,195.708,396.012,34.4129,9.29043,729.647,580.938,217.584,405.313,387.665,194.748,396.768,20,34.485,9.25742,334.49,288.453,730.793,581.573,387.665,217.091,405.901,3922
1925,184.651,351.209,30.2239,11.0357,788.808,720.095,235.828,380.938,841.945,181.365,348.989,30,30.225,11.0632,1666.01,1186.35,784.455,717.025,841.945,232.82,381.882,3118
1916,190.825,309.048,30.2687,11.44,767.546,777.461,236.259,325.59,1203.48,185.762,301.389,22,30.31,11.4536,1211.8,1436.14,765.934,774.051,1203.48,232.749,326.18,2749
1874,197.703,474.669,30.4776,10.0214,796.899,713.102,240.814,498.604,1613.01,190.627,465.157,22,30.52,10.0284,896.046,1076.47,796.542,711.457,1613.01,235.868,499.502,3622
1560,218.809,429.39,32.0398,11.3035,778.847,698.251,273.651,470.86,225.345,218.777,430.462,20,32.1,11.2996,655.384,1036.96,779.232,696.938,225.345,273.801,471.593,3091
1636,216.465,386.906,31.6617,11.328,755.009,677.867,260.94,412.988,832.912,213.383,385.402,18,31.73,11.3149,298.609,266.71,756.303,678.679,832.912,259.318,413.573,3425
1589,231.683,473.321,31.8955,9.50852,761.612,609.613,288.279,521.531,282.486,231.429,474.489,17,31.97,9.4736,967.117,1732.63,761.066,603.85,282.486,288.295,522.224,3222
1899,188.627,401.964,30.3532,11.7659,782.002,750.018,233.552,426.791,143.151,188.854,402.955,21,30.4,11.7767,638.331,668.04,782.498,750.286,143.151,233.865,427.527,2813
1872,185.339,361.459,30.4876,9.42322,765.351,658.302,229.634,390.074,275.99,184.886,362.305,19,30.545,9.41159,763.264,1074.69,765.357,656.595,275.99,229.49,390.68,2861
1366,204.17,449.796,33.005,10.5078,761.627,648.405,233.617,461.091,1401.32,198.184,442.862,31,33.015,10.533,902.377,803.572,760.967,647.589,1401.32,228.135,462.173,3488
